locus_tag	string_id	gene_class	gene_name	annotation
KOIAIB_02301	511145.b2156	core	lysP	lysine-specific
KOIAIB_02892	511145.b2709	core	group_1421	nitric
KOIAIB_03634	511145.b3426	core	glpD	glycerol-3-phosphate
KOIAIB_03876	511145.b3644	core	yicC	putative
KOIAIB_04054	511145.b3811	core	xerC	tyrosine
KOIAIB_04203	511145.b3943	core	group_9181	cystine
KOIAIB_01692	511145.b1587	core	ynfE	Putative
KOIAIB_02173	511145.b2039	accessory	rfbA	glucose-1-phosphate
KOIAIB_02447	511145.b2287	core	nuoB	NADH-quinone
KOIAIB_02582	511145.b2417	core	crr	PTS
KOIAIB_02682	511145.b2509	core	xseA	exodeoxyribonuclease
KOIAIB_00522	511145.b0480	core	ushA	Protein
KOIAIB_00983	511145.b0911	core	group_8840	30S
KOIAIB_04613	511145.b4310	core	nanM	N-acetylneuraminate
KOIAIB_00764	511145.b0708	core	phrB	deoxyribodipyrimidine
KOIAIB_04604	511145.b4303	accessory	sgcQ	BtpA
KOIAIB_02646	511145.b2475	core	ypfJ	Uncharacterized
KOIAIB_02856	511145.b2675	core	nrdE	class
KOIAIB_01694	511145.b1589	core	ynfG	DMSO/selenate
KOIAIB_03528	511145.b3320	core	rplC	50S
KOIAIB_03624	511145.b3415	core	gntT	High-affinity
KOIAIB_03893	511145.b3661	core	nlpA	lipoprotein
KOIAIB_03996	511145.b3755	core	yieP	Uncharacterized
KOIAIB_00468	511145.b0428	core	cyoE	heme
KOIAIB_03637	511145.b3429	core	glgA	glycogen
KOIAIB_02096	511145.b1968	core	hprS	two-component
KOIAIB_02409	511145.b2250	core	yfaZ	Outer
KOIAIB_02748	511145.b2566	core	era	GTPase
KOIAIB_01861	511145.b1744	core	astE	succinylglutamate
KOIAIB_00895	511145.b0828	core	iaaA~~~gsiA	beta-aspartyl-peptidase;glutathione
KOIAIB_03439	511145.b3235	core	group_9135	outer
KOIAIB_01596	511145.b1495	core	yddB	TonB-dependent
KOIAIB_03746	511145.b3527	core	yhjJ	Protein
KOIAIB_03722	511145.b3506	core	slp	Slp
KOIAIB_04486	511145.b4191	core	group_9228	HTH-type
KOIAIB_00139	511145.b0129	core	yadI	Putative
KOIAIB_00315	511145.b0286	accessory	paoA	hypothetical
KOIAIB_00881	511145.b0815	core	opgE	phosphoethanolamine
KOIAIB_03851	511145.b3620	core	rfaF	ADP-heptose--LPS
KOIAIB_01068	511145.b0994	core	torT	TMAO
KOIAIB_02629	511145.b2462	core	eutS	Bacterial
KOIAIB_02698	511145.b2522	core	sseB	enhanced
KOIAIB_03191	511145.b2994	core	group_8993	hydrogenase
KOIAIB_01704	511145.b1598	core	ydgD	Uncharacterized
KOIAIB_01972	511145.b1851	core	edd	phosphogluconate
KOIAIB_03757	511145.b3538	core	yhjU~~~bcsG	Cellulose
KOIAIB_02845	511145.b2664	core	csiR	DNA-binding
KOIAIB_03086	511145.b2894	core	group_2979	site-specific
KOIAIB_03327	511145.b3128	core	group_9065	galactarate
KOIAIB_01486	511145.b1390	accessory	paaC	12-phenylacetyl-CoA
KOIAIB_01747	511145.b1640	core	anmK	anhydro-N-acetylmuramic
KOIAIB_04194	511145.b3935	core	priA	primosomal
KOIAIB_02528	511145.b2367	core	emrY	putative
KOIAIB_02915	511145.b2732	core	ygbA	nitrous
KOIAIB_03085	511145.b2893	core	group_1300	bifunctional
KOIAIB_03223	511145.b3026	core	group_9015	quorum
KOIAIB_00462	511145.b0422	core	xseB	exodeoxyribonuclease
KOIAIB_00567	511145.b0521	core	allK	carbamate
KOIAIB_00917	511145.b0849	core	grxA	glutaredoxin
KOIAIB_01084	511145.b1009	core	rutD	pyrimidine
KOIAIB_02502	511145.b2341	core	fadJ	fatty
KOIAIB_00960	511145.b0889	core	group_8830	leucine-responsive
KOIAIB_01160	511145.b1084	core	rne	ribonuclease
KOIAIB_02754	511145.b2571	core	rseB	sigma-E
KOIAIB_00867	511145.b0802	core	ybiJ	DUF1471
KOIAIB_00196	511145.b0182	core	lpxB	lipid-A-disaccharide
KOIAIB_01838	511145.b1723	core	group_2560	6-phosphofructokinase
KOIAIB_01937	511145.b1819	core	manZ	PTS
KOIAIB_04685	511145.b4377	core	yjjU	Uncharacterized
KOIAIB_03760	511145.b3539	core	yhjV	Inner
KOIAIB_00353	511145.b0324	accessory	yahJ	Uncharacterized
KOIAIB_01150	511145.b1074	core	group_5792	flagellar
KOIAIB_01247	511145.b1171	core	ymgD	Uncharacterized
KOIAIB_01382	511145.b1293	core	sapB	putrescine
KOIAIB_02665	511145.b2493	core	perM	Putative
KOIAIB_01151	511145.b1075	core	group_4377	flagellar
KOIAIB_01281	511145.b1204	core	group_8933	aminoacyl-tRNA
KOIAIB_01550	511145.b1449	accessory	curA	NADPH-dependent
KOIAIB_01914	511145.b1797	core	yeaR	Uncharacterized
KOIAIB_01742	511145.b1635	core	gstA	glutathione
KOIAIB_01911	511145.b4675	core	yoaJ	protein
KOIAIB_01978	511145.b1856	core	mepM	murein
KOIAIB_04076	511145.b3834	core	ubiJ	ubiquinone
KOIAIB_04226	511145.b3966	core	group_1047	TonB-dependent
KOIAIB_02053	511145.b1924	accessory	group_1961	flagellar
KOIAIB_02158	511145.b2025	core	hisF	Imidazole
KOIAIB_02364	511145.b2211	core	yojI	Hypothetical
KOIAIB_02885	511145.b2702	core	srlA	Glucitol/sorbitol
KOIAIB_00421	511145.b0382	core	iraP	anti-adapter
KOIAIB_00454	511145.b0414	core	ribD	bifunctional
KOIAIB_04449	511145.b4155	core	group_9206	elongation
KOIAIB_03830	511145.b3600	core	mtlD	mannitol-1-phosphate
KOIAIB_04153	511145.b3900	accessory	frvA	PTS
KOIAIB_01612	511145.b1512	accessory	lsrR	transcriptional
KOIAIB_01349	511145.b1264	core	trpE	anthranilate
KOIAIB_01759	511145.b1652	core	rnt	ribonuclease
KOIAIB_02030	511145.b4537	core	yecJ	Uncharacterized
KOIAIB_00379	511145.b0347	accessory	mhpA	bifunctional
KOIAIB_02283	511145.b4679	core	group_8971	small
KOIAIB_02349	511145.b2204	core	napH	quinol
KOIAIB_00384	511145.b0352	accessory	dmpG	4-hydroxy-2-oxovalerate
KOIAIB_01815	511145.b1702	core	ppsA	phosphoenolpyruvate
KOIAIB_02463	511145.b2302	core	yfcG	GSH-dependent
KOIAIB_02772	511145.b2587	core	group_1103	alpha-ketoglutarate
KOIAIB_03120	511145.b2924	core	mscS	small-conductance
KOIAIB_03189	511145.b2992	core	hybE	hydrogenase-2
KOIAIB_00891	511145.b0824	core	group_8304	Putative
KOIAIB_03201	511145.b3003	core	yghA	SDR
KOIAIB_01064	511145.b0990	core	group_8880	cold
KOIAIB_01198	511145.b1122	accessory	ymfA	DUF3592
KOIAIB_00816	511145.b0756	core	galM	galactose-1-epimerase
KOIAIB_03632	511145.b3424	core	group_9157	rhomboid
KOIAIB_01418	511145.b1327	core	ycjY~~~mpaA	Uncharacterized
KOIAIB_01617	511145.b1517	accessory	lsrF	3-hydroxy-5-phosphonooxypentane-24-dione
KOIAIB_04170	511145.b3912	core	cpxR	envelope
KOIAIB_04434	511145.b4142	core	groES	Co-chaperonin
KOIAIB_04605	511145.b4304	accessory	group_1069	Putative
KOIAIB_00075	511145.b4662	core	sgrT	Glucose
KOIAIB_00775	511145.b0718	accessory	ybgQ	Outer
KOIAIB_02294	511145.b2149	core	mglA	Ribose/galactose/methyl
KOIAIB_00145	511145.b0135	accessory	yadC	Fimbrial-type
KOIAIB_03329	511145.b3130	core	yhaV	type
KOIAIB_03465	511145.b3260	core	dusB	tRNA
KOIAIB_03869	511145.b3638	core	group_4488	DNA
KOIAIB_04125	511145.b3873	core	yihM	Uncharacterized
KOIAIB_04493	511145.b4198	core	ulaF	L-ribulose-5-phosphate
KOIAIB_04401	511145.b4703	core	pmrR	Putative
KOIAIB_04469	511145.b4174	core	group_9217	FtsH
KOIAIB_03032	511145.b2841	core	araE	arabinose-proton
KOIAIB_02339	511145.b2194	core	ccmH	cytochrome
KOIAIB_02580	511145.b2415	core	ptsH	phosphocarrier
KOIAIB_03550	511145.b3342	core	rpsL	30S
KOIAIB_03646	511145.b3438	core	group_2297	gluconate
KOIAIB_00792	511145.b0733	core	cydA	cytochrome
KOIAIB_02480	511145.b2319	core	usg	aspartate-semialdehyde
KOIAIB_04513	511145.b4217	core	ytfK	Uncharacterized
KOIAIB_03892	511145.b3660	core	yicL	carboxylate/amino
KOIAIB_04069	511145.b3827	core	bioP	biotin
KOIAIB_03626	511145.b3417	core	malP	maltodextrin
KOIAIB_01635	511145.b4599	core	mgtS	protein
KOIAIB_01669	511145.b1564	accessory	group_8952	type
KOIAIB_01804	511145.b1692	core	ydiB	quinate/shikimate
KOIAIB_02216	511145.b2076	core	mdtC	multidrug
KOIAIB_02319	511145.b2173	core	yeiR	zinc-binding
KOIAIB_02651	511145.b2479	core	gcvR	glycine
KOIAIB_02756	511145.b2573	core	rpoE	RNA
KOIAIB_02932	511145.b2748	core	ftsB	cell
KOIAIB_02965	511145.b2780	core	pyrG	glutamine
KOIAIB_00447	511145.b0407	core	group_8563	preprotein
KOIAIB_04533	511145.b4235	core	pmbA	metalloprotease
KOIAIB_02131	511145.b2002	accessory	radC~~~yeeS	DNA
KOIAIB_02299	511145.b2154	core	yeiG~~~fghA	S-formylglutathione
KOIAIB_02408	511145.b2249	core	yfaY	nicotinamide
KOIAIB_01060	511145.b0986	accessory	group_8879	Uncharacterized
KOIAIB_02958	511145.b2774	core	ygcW	Uncharacterized
KOIAIB_02270	511145.b2127	core	mlrA	HTH-type
KOIAIB_00297	511145.b0270	accessory	yicJ~~~yagG	glycoside-pentoside-hexuronide
KOIAIB_00647	511145.b0592	core	group_8589	ferrienterobactin
KOIAIB_02318	511145.b2172	core	yeiQ	Uncharacterized
KOIAIB_00594	511145.b0548	accessory	group_1931	Prophage
KOIAIB_02975	511145.b2790	core	yqcA	flavodoxin
KOIAIB_03115	511145.b2919	accessory	scpB	methylmalonyl-CoA
KOIAIB_01870	511145.b1753	core	ynjA	Carboxymuconolactone
KOIAIB_04145	511145.b3892	core	fdoI	formate
KOIAIB_03183	511145.b2987	core	pitA~~~pitB	inorganic
KOIAIB_03497	511145.b3290	core	trkA	Trk
KOIAIB_03195	511145.b2998	core	yghW	DUF2623
KOIAIB_03332	511145.b3133	core	agaV	PTS
KOIAIB_03508	511145.b3300	core	secY	preprotein
KOIAIB_04244	511145.b3984	core	rplA	50S
KOIAIB_04284	511145.b4019	core	metH	methionine
KOIAIB_02476	511145.b2315	core	folC	bifunctional
KOIAIB_03033	511145.b2842	core	kduD	2-dehydro-3-deoxy-D-gluconate
KOIAIB_02680	511145.b2507	core	guaA	glutamine-hydrolyzing
KOIAIB_02155	511145.b2022	core	hisB	bifunctional
KOIAIB_00142	511145.b0132	accessory	rpnC	Recombination-promoting
KOIAIB_00428	511145.b0389	core	yaiA	Uncharacterized
KOIAIB_00494	511145.b0453	core	ybaY	Lipoprotein;Uncharacterized
KOIAIB_00599	511145.b0551	accessory	quuD	Antitermination
KOIAIB_01251	511145.b1176	core	group_8919	septum
KOIAIB_01453	511145.b1357	accessory	ydaS	Antirepressor;toxin
KOIAIB_04234	511145.b3973	core	birA	bifunctional
KOIAIB_04628	511145.b4325	accessory	yjiC	DUF2686
KOIAIB_03985	511145.b3744	core	asnA	hypothetical
KOIAIB_00451	511145.b0411	core	tsx	Nucleoside-specific
KOIAIB_04482	511145.b4187	core	group_9224	isovaleryl-CoA
KOIAIB_01112	511145.b1037	core	csgG	curli
KOIAIB_03182	511145.b2986	core	yghT	Uncharacterized
KOIAIB_03352	511145.b3153	accessory	group_9075	protein/nucleic
KOIAIB_03763	511145.b3542	core	dppC	dipeptide
KOIAIB_02741	511145.b2561	core	yfhH	MurR/RpiR
KOIAIB_01289	511145.b1212	core	group_1615	peptide
KOIAIB_04072	511145.b3830	core	ysgA	Putative
KOIAIB_00493	511145.b0452	core	tesB	acyl-CoA
KOIAIB_01339	511145.b1254	core	yciB	septation
KOIAIB_00533	511145.b0486	core	ybaT	Inner
KOIAIB_00814	511145.b0754	core	aroG	3-deoxy-7-phosphoheptulonate
KOIAIB_01415	511145.b1326	core	mpaA	murein
KOIAIB_01745	511145.b1638	core	pdxH	pyridoxamine
KOIAIB_02016	511145.b1888	core	cheA	Chemotaxis
KOIAIB_04578	511145.b4655	accessory	ythA	Uncharacterized
KOIAIB_04642	511145.b4336	core	yjiN	Uncharacterized
KOIAIB_01102	511145.b1025	accessory	dgcT	putative
KOIAIB_00347	511145.b0320	core	yahF	Uncharacterized
KOIAIB_01780	511145.b1670	core	phsC	thiosulfate
KOIAIB_04154	511145.b3901	core	rhaM	L-rhamnose
KOIAIB_04382	511145.b4100	core	phnH	phosphonate
KOIAIB_04490	511145.b4195	core	ulaC	PTS
KOIAIB_04560	511145.b4263	core	yjgR~~~cedB	Uncharacterized
KOIAIB_00010	511145.b0009	core	mog	molybdopterin
KOIAIB_00116	511145.b0107	core	group_1123	type
KOIAIB_04396	511145.b4108	core	yjdM	Protein
KOIAIB_00046	511145.b0044	core	group_6595	ferredoxin-like
KOIAIB_02966	511145.b2781	core	mazG	nucleoside
KOIAIB_03277	511145.b3077	core	ebgC	beta-galactosidase
KOIAIB_01732	511145.b1626	core	ydgK	Inner
KOIAIB_01968	511145.b1847	core	yebF	protein
KOIAIB_02140	511145.b2010	core	dacD	serine-type
KOIAIB_01169	511145.b1093	core	fabG	3-oxoacyl-ACP
KOIAIB_01266	511145.b1190	core	dadX	catabolic
KOIAIB_04065	511145.b3823	core	rhtC	threonine
KOIAIB_04298	511145.b4031	accessory	xylE	hypothetical
KOIAIB_02817	511145.b2631	accessory	rnlB	type
KOIAIB_03024	511145.b2835	core	lplT	lysophospholipid
KOIAIB_03229	511145.b3033	core	yqiB	YqiB
KOIAIB_01655	511145.b1552	accessory	cspI	cold
KOIAIB_03691	511145.b3481	core	group_9160	nickel
KOIAIB_01215	511145.b1139	accessory	lit	cell
KOIAIB_03279	511145.b3079	core	ygjJ	Protein
KOIAIB_02315	511145.b2170	core	setB	sugar
KOIAIB_03419	511145.b3216	accessory	group_320	Uncharacterized
KOIAIB_03389	511145.b3187	core	group_9103	octaprenyl
KOIAIB_03221	511145.b3024	core	group_9013	OB
KOIAIB_00544	511145.b0497	accessory	rhsD	rhs
KOIAIB_03614	511145.b3405	core	ompR	DNA-binding
KOIAIB_00184	511145.b0171	core	pyrH	UMP
KOIAIB_00469	511145.b0429	core	cyoD	cytochrome
KOIAIB_02132	511145.b2003	accessory	group_2998	CP4-44
KOIAIB_00264	511145.b0241	core	phoE	Outer
KOIAIB_04362	511145.b4081	core	mdtO	multidrug
KOIAIB_01733	511145.b1627	core	rsxA	electron
KOIAIB_01836	511145.b4535	core	yniD	small
KOIAIB_01935	511145.b1817	core	manX	PTS
KOIAIB_02177	511145.b2043	accessory	wcaM	colanic
KOIAIB_04260	511145.b3997	core	hemE	uroporphyrinogen
KOIAIB_03671	511145.b3461	core	rpoH	RNA
KOIAIB_03908	511145.b3673	core	emrD	multidrug
KOIAIB_04166	511145.b3909	core	kdgT	2-keto-3-deoxygluconate
KOIAIB_01547	511145.b1446	core	ydcY	Uncharacterized
KOIAIB_01579	511145.b1479	core	maeA	malate
KOIAIB_04590	511145.b4291	accessory	group_9243	Fe(3+)
KOIAIB_00141	511145.b0131	core	panD	aspartate
KOIAIB_01259	511145.b1183	core	group_8924	Protein
KOIAIB_02578	511145.b2413	core	cysZ	sulfate
KOIAIB_01637	511145.b1535	core	dgcZ	diguanylate
KOIAIB_01444	511145.b1349	accessory	group_2711	Protein
KOIAIB_03841	511145.b3610	core	grxC	glutaredoxin
KOIAIB_04084	511145.b3843	core	ubiD	4-hydroxy-3-polyprenylbenzoate
KOIAIB_00993	511145.b0921	core	group_8845	tRNA
KOIAIB_03436	511145.b3232	core	zapE	cell
KOIAIB_03777	511145.b3554	core	yiaF	Uncharacterized
KOIAIB_01430	511145.b1339	accessory	lysR~~~abgR	LysR
KOIAIB_01265	511145.b1189	core	dadA	D-amino
KOIAIB_03523	511145.b3315	core	rplV	50S
KOIAIB_03555	511145.b3347	core	fkpA	Peptidyl-prolyl
KOIAIB_03526	511145.b3318	core	rplW	50S
KOIAIB_02508	511145.b2347	core	yfdC	Inner
KOIAIB_02896	511145.b2713	core	hydN	4Fe-4S
KOIAIB_01032	511145.b0959	core	tfoX~~~sxy	Putative
KOIAIB_00336	511145.b0308	core	ykgG	LUD
KOIAIB_00066	511145.b0062	core	araA	L-arabinose
KOIAIB_01045	511145.b0972	core	group_8874	hydrogenase
KOIAIB_03894	511145.b4555	core	yicS	Uncharacterized
KOIAIB_03961	511145.b3722	accessory	group_1336	PTS
KOIAIB_02080	511145.b1953	accessory	yodD	YodD
KOIAIB_00774	511145.b0717	accessory	ybgP	Chaperone;Uncharacterized
KOIAIB_01119	511145.b1043	core	csgC	curli
KOIAIB_01152	511145.b1076	core	flgE	Flagellar
KOIAIB_01351	511145.b1266	core	yciV	5'-3'
KOIAIB_01915	511145.b1798	core	leuE	leucine
KOIAIB_00858	511145.b0796	core	cecR	DNA-binding
KOIAIB_02821	511145.b2635	accessory	ypjK	Uncharacterized
KOIAIB_02027	511145.b1900	core	araG	arabinose
KOIAIB_03915	511145.b3680	accessory	yidL	Uncharacterized
KOIAIB_01535	511145.b1434	core	sutR	DNA-binding
KOIAIB_01703	511145.b4601	core	ydgU	Uncharacterized
KOIAIB_01735	511145.b1629	core	group_456	hypothetical
KOIAIB_03808	511145.b3579	core	yiaO	23-diketo-L-gulonate
KOIAIB_04050	511145.b3807	core	cyaY	iron
KOIAIB_04241	511145.b3981	core	secE	preprotein
KOIAIB_04317	511145.b4045	core	yjbJ	UPF0337
KOIAIB_02764	511145.b2580	core	ung	uracil-DNA
KOIAIB_00559	511145.b0514	core	glxK	glycerate
KOIAIB_00842	511145.b0780	core	ybhK	LPPG:FO
KOIAIB_00457	511145.b0417	core	thiL	thiamine-phosphate
KOIAIB_03291	511145.b3089	core	group_9044	serine/threonine
KOIAIB_03545	511145.b3337	core	bfd	bacterioferritin-associated
KOIAIB_00839	511145.b0778	core	bioD	dethiobiotin
KOIAIB_01009	511145.b0936	core	ssuA	aliphatic
KOIAIB_00423	511145.b0384	core	psiF	phosphate
KOIAIB_02793	511145.b2605	core	yfiB~~~ompA	OmpA
KOIAIB_03950	511145.b3711	core	yidZ	HTH-type
KOIAIB_04506	511145.b4211	core	qorB	NAD(P)H:quinone
KOIAIB_01799	511145.b1688	core	ydiK	AI-2E
KOIAIB_01677	511145.b1573	accessory	group_1995	Prophage
KOIAIB_01710	511145.b1604	core	ydgH	DUF1471
KOIAIB_00002	511145.b0001	core	group_16	thr
KOIAIB_01117	511145.b1041	core	csgB	curli
KOIAIB_01755	511145.b1648	core	ydhL	Uncharacterized
KOIAIB_00213	511145.b0197	core	metQ	methionine
KOIAIB_00465	511145.b0425	core	panE	2-dehydropantoate
KOIAIB_02060	511145.b1931	accessory	yedK	hypothetical
KOIAIB_02746	511145.b2564	core	pdxJ	pyridoxine
KOIAIB_03407	511145.b3205	core	group_9118	RNase
KOIAIB_04325	511145.b4053	core	alr	alanine
KOIAIB_04713	511145.b4399	core	creC	histidine
KOIAIB_01598	511145.b1497	core	ydeM	anaerobic
KOIAIB_00605	511145.b0556	accessory	group_3657	Spanin
KOIAIB_00673	511145.b0617	core	citD	citrate
KOIAIB_00820	511145.b0760	accessory	modF	molybdate
KOIAIB_01389	511145.b1300	accessory	puuC	aldehyde
KOIAIB_01719	511145.b1613	core	manA	mannose-6-phosphate
KOIAIB_02954	511145.b2769	core	ygcQ	Flavoprotein;Electron
KOIAIB_03264	511145.b3064	core	group_9034	tRNA
KOIAIB_04177	511145.b3918	core	cdh	CDP-diacylglycerol
KOIAIB_00936	511145.b0866	core	group_8820	UPF0145
KOIAIB_01268	511145.b1192	core	ldcA	muramoyltetrapeptide
KOIAIB_04296	511145.b4029	core	yjbH	Uncharacterized
KOIAIB_03313	511145.b4471	core	group_9057	L-serine
KOIAIB_03138	511145.b2945	core	endA	deoxyribonuclease
KOIAIB_03519	511145.b3311	core	rpsQ	30S
KOIAIB_03615	511145.b3406	core	greB	transcription
KOIAIB_02941	511145.b2757	accessory	cas5e	type
KOIAIB_02470	511145.b2309	core	hisJ	histidine
KOIAIB_02639	511145.b2471	core	yffB	ArsC
KOIAIB_02745	511145.b2563	core	acpS	Holo-[acyl-carrier-protein]
KOIAIB_02851	511145.b2670	core	alaE	L-alanine
KOIAIB_04132	511145.b3880	accessory	yihS	sulfoquinovose
KOIAIB_04680	511145.b4373	core	rimI	ribosomal
KOIAIB_00130	511145.b0120	core	speD	adenosylmethionine
KOIAIB_00339	511145.b0312	core	betB	betaine-aldehyde
KOIAIB_02009	511145.b1882	core	cheY	chemotaxis
KOIAIB_02116	511145.b1988	core	nac	nitrogen
KOIAIB_03964	511145.b3724	core	group_4270	phosphate
KOIAIB_03158	511145.b2964	core	nupG	hypothetical
KOIAIB_01133	511145.b1057	core	yceJ	Cytochrome
KOIAIB_00243	511145.b0224	core	dpaA	peptidoglycan
KOIAIB_00558	511145.b0513	core	ybbY	uracil/xanthine
KOIAIB_02255	511145.b2114	core	metG	methionine--tRNA
KOIAIB_04453	511145.b4159	core	group_9207	miniconductance
KOIAIB_00825	511145.b0765	accessory	modC	molybdenum
KOIAIB_01130	511145.b1054	core	lpxL	kdo(2)-lipid
KOIAIB_01394	511145.b1305	core	pspB	envelope
KOIAIB_01792	511145.b1682	core	sufC	Fe-S
KOIAIB_01992	511145.b1868	core	yecE	UPF0759
KOIAIB_01768	511145.b1659	core	punR	DNA-binding
KOIAIB_02973	511145.b2788	core	gudX~~~rspA	Glucarate
KOIAIB_04652	511145.b4347	accessory	symE	endoribonuclease
KOIAIB_01082	511145.b1007	core	group_2727	NADH-dependent
KOIAIB_03371	511145.b3169	core	group_9090	Transcription
KOIAIB_04119	511145.b3869	core	glnL	nitrogen
KOIAIB_01304	511145.b1221	core	group_8941	nitrate/nitrite
KOIAIB_01471	511145.b1377	core	ompN	Outer
KOIAIB_02726	511145.b2548	core	yphF	ABC
KOIAIB_00032	511145.b0031	core	dapB	4-hydroxy-tetrahydrodipicolinate
KOIAIB_02912	511145.b2729	core	hypD	hydrogenase
KOIAIB_03118	511145.b2922	core	yggE	oxidative
KOIAIB_02098	511145.b1970	core	hiuH	hydroxyisourate
KOIAIB_02581	511145.b2416	core	ptsI	phosphoenolpyruvate-protein
KOIAIB_00502	511145.b0461	core	tomB	Hha
KOIAIB_02331	511145.b2185	core	rplY	50S
KOIAIB_02371	511145.b2217	accessory	group_4542	transcriptional
KOIAIB_02535	511145.b2373	core	oxc	Thiamine
KOIAIB_00707	511145.b0651	core	rihA	pyrimidine-specific
KOIAIB_00992	511145.b0920	core	group_8844	envelope
KOIAIB_01091	511145.b1015	core	group_8889	sodium/proline
KOIAIB_02640	511145.b2472	core	dapE	succinyl-diaminopimelate
KOIAIB_00545	511145.b0498	accessory	ybbC	Uncharacterized
KOIAIB_02445	511145.b2285	core	nuoE	NADH-quinone
KOIAIB_02613	511145.b2447	accessory	yffP	Uncharacterized
KOIAIB_04541	511145.b4242	core	mgtA	magnesium-translocating
KOIAIB_03856	511145.b3625	accessory	group_3415	lipopolysaccharide
KOIAIB_00563	511145.b0517	core	allD	ureidoglycolate
KOIAIB_03293	511145.b3091	core	group_9046	altronate
KOIAIB_03766	511145.b3544	core	dppA	dipeptide
KOIAIB_02949	511145.b2764	core	cysJ	NADPH-dependent
KOIAIB_01120	511145.b1044	core	ymdA	Uncharacterized
KOIAIB_01153	511145.b1077	core	flgF	flagellar
KOIAIB_01250	511145.b1175	core	group_8918	septum
KOIAIB_01584	511145.b1484	accessory	ddpD	ABC
KOIAIB_03225	511145.b3029	core	group_9017	putative
KOIAIB_00013	511145.b0013	core	yaaI	DUF2541
KOIAIB_00152	511145.b0142	core	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine
KOIAIB_00367	511145.b0336	accessory	codB	cytosine
KOIAIB_00543	511145.b0496	core	ybbP	putative
KOIAIB_01291	511145.b1214	core	sirB1	invasion
KOIAIB_02816	511145.b2630	accessory	rnlA	type
KOIAIB_04012	511145.b3771	core	ilvD	dihydroxy-acid
KOIAIB_00706	511145.b0650	accessory	dnaK~~~hscC~~~rihA	Putative
KOIAIB_00607	511145.b0558	accessory	ybcV	Uncharacterized
KOIAIB_00781	511145.b0723	core	sdhA	succinate
KOIAIB_02662	511145.b2490	accessory	hyfJ	Hydrogenase-4
KOIAIB_03014	511145.b2826	core	ppdA	prepilin
KOIAIB_03696	511145.b3485	core	yhhJ	Inner
KOIAIB_04007	511145.b4669	core	ilvX	Uncharacterized
KOIAIB_04045	511145.b3802	core	hemY	protoheme
KOIAIB_00452	511145.b0412	core	yajI	Uncharacterized
KOIAIB_02115	511145.b1987	core	lysR~~~cbl	LysR
KOIAIB_02350	511145.b2205	core	napG	ferredoxin-type
KOIAIB_01277	511145.b1201	core	group_8931	dihydroxyacetone
KOIAIB_03084	511145.b2892	core	recJ	single-stranded-DNA-specific
KOIAIB_03537	511145.b3329	accessory	group_2537	type
KOIAIB_03698	511145.b3487	core	yhiI	Uncharacterized
KOIAIB_03807	511145.b3578	core	yiaN	23-diketo-L-gulonate
KOIAIB_04082	511145.b4483	core	tatD	DNase
KOIAIB_01081	511145.b1006	core	rutG	pyrimidine
KOIAIB_04344	511145.b4069	core	acs	acetate--CoA
KOIAIB_00234	511145.b0217	accessory	yafT	hypothetical
KOIAIB_04179	511145.b3920	core	yiiQ	Uncharacterized
KOIAIB_03931	511145.b4479	core	dgoR	D-galactonate
KOIAIB_04671	511145.b4365	core	yjjQ	helix-turn-helix
KOIAIB_03136	511145.b2943	core	galP	Galactose-proton
KOIAIB_01070	511145.b0996	core	group_8883	pentaheme
KOIAIB_03891	511145.b3659	accessory	setC	Sugar
KOIAIB_02805	511145.b2618	core	ratB	RnfH
KOIAIB_04348	511145.b4072	core	nrfC	cytochrome
KOIAIB_02722	511145.b2544	core	yphB	Uncharacterized
KOIAIB_01473	511145.b1378	core	nifJ	pyruvate:ferredoxin
KOIAIB_04587	511145.b4288	accessory	group_9237	Fe(3+)
KOIAIB_03254	511145.b3055	core	group_9028	TIGR04211
KOIAIB_03355	511145.b3156	core	group_9076	Uncharacterized
KOIAIB_03188	511145.b2991	core	group_8989	hydrogenase
KOIAIB_03384	511145.b3182	core	group_9099	serine-type
KOIAIB_03012	511145.b2824	core	ygdB	DUF2509
KOIAIB_03305	511145.b3102	core	yqjG	Glutathionyl-hydroquinone
KOIAIB_01030	511145.b0957	core	group_2078	outer
KOIAIB_01099	511145.b1022	accessory	pgaC	poly-beta-16-N-acetyl-D-glucosamine
KOIAIB_00684	511145.b0628	core	lipA	lipoyl
KOIAIB_03310	511145.b3107	core	yhaL	Uncharacterized
KOIAIB_02716	511145.b2538	accessory	hcaE	hypothetical
KOIAIB_01868	511145.b1751	core	ydjY~~~ydjX	Putative
KOIAIB_02034	511145.b1906	core	yecH	Uncharacterized
KOIAIB_02142	511145.b2012	accessory	tsuB	thiosulfate
KOIAIB_02244	511145.b2103	core	thiD	bifunctional
KOIAIB_00082	511145.b0076	core	leuO	transcriptional
KOIAIB_02441	511145.b2281	core	nuoI	NADH-quinone
KOIAIB_00678	511145.b0622	core	pagP	lipid
KOIAIB_00927	511145.b0859	core	rlmC	23S
KOIAIB_02474	511145.b2313	core	cvpA	colicin
KOIAIB_01243	511145.b1168	core	pdeG	EAL
KOIAIB_00845	511145.b0783	core	moaC	cyclic
KOIAIB_00947	511145.b0877	core	ybjX	DUF535
KOIAIB_00273	511145.b0248	accessory	yafX	Uncharacterized
